Prikon;PrikonHP;Proud;Provoz;Typovykod;Velikost;NapetiMin;NapetiMax
1,1;1,5;3,3;Normální;ACS550-01-03A3-4;R1;380;480
1,5;2;4,1;Normální;ACS550-01-04A1-4;R1;380;480
2,2;3;5,4;Normální;ACS550-01-05A4-4;R1;380;480
3;4;6,9;Normální;ACS550-01-06A9-4;R1;380;480
4;5;8,8;Normální;ACS550-01-08A8-4;R1;380;480
5,5;7,5;11,9;Normální;ACS550-01-012A-4;R1;380;480
7,5;10;15,4;Normální;ACS550-01-015A-4;R2;380;480
11;15;23;Normální;ACS550-01-023A-4;R2;380;480
15;20;31;Normální;ACS550-01-031A-4;R3;380;480
18,5;25;38;Normální;ACS550-01-038A-4;R3;380;480
22;30;45;Normální;ACS550-01-045A-4;R3;380;480
30;40;59;Normální;ACS550-01-059A-4;R4;380;480
37;50;72;Normální;ACS550-01-072A-4;R4;380;480
45;75;87;Normální;ACS550-01-087A-4;R4;380;480
55;100;125;Normální;ACS550-01-125A-4;R5;380;480
75;125;157;Normální;ACS550-01-157A-4;R6;380;480
90;150;180;Normální;ACS550-01-180A-4;R6;380;480
110;183;195;Normální;ACS550-01-195A-4;R6;380;480
0,75;1;2,4;Tìžký;ACS550-01-03A3-4;R1;380;480
1,1;1,5;3,3;Tìžký;ACS550-01-04A1-4;R1;380;480
1,5;2;4,1;Tìžký;ACS550-01-05A4-4;R1;380;480
2,2;3;5,4;Tìžký;ACS550-01-06A9-4;R1;380;480
3;4;6,9;Tìžký;ACS550-01-08A8-4;R1;380;480
4;5;8,8;Tìžký;ACS550-01-012A-4;R1;380;480
5,5;7,5;11,9;Tìžký;ACS550-01-015A-4;R2;380;480
7,5;10;15,4;Tìžký;ACS550-01-023A-4;R2;380;480
11;15;23;Tìžký;ACS550-01-031A-4;R3;380;480
15;20;31;Tìžký;ACS550-01-038A-4;R3;380;480
18,5;25;38;Tìžký;ACS550-01-045A-4;R3;380;480
22;30;44;Tìžký;ACS550-01-059A-4;R4;380;480
30;40;59;Tìžký;ACS550-01-072A-4;R4;380;480
37;60;72;Tìžký;ACS550-01-087A-4;R4;380;480
45;75;87;Tìžký;ACS550-01-125A-4;R5;380;480
55;100;124;Tìžký;ACS550-01-157A-4;R6;380;480
75;125;156;Tìžký;ACS550-01-180A-4;R6;380;480
90;125;162;Tìžký;ACS550-01-195A-4;R6;380;480
